ats_provider,company_count,share_of_checked_pct
bamboohr,57,1.33
workable,55,1.28
personio,42,0.98
breezy,34,0.79
workday,30,0.70
applytojob,22,0.51
wordpress-wp-job-manager,20,0.47
polymer,12,0.28
recruitee,11,0.26
phenompeople,7,0.16
careers-page,3,0.07
smartrecruiters,3,0.07
pyjamahr,1,0.02
